engine_temp_C,vibration_ms2,battery_voltage_V,engine_load_pct,rpm,oil_pressure_psi,coolant_temp_C,vehicle_age_years,mileage_km,failure
89.97,0.358,13.16,52.8,2639,46.4,74.16,14.2,204406,1
83.62,0.355,13.35,54.5,2613,45.1,81.56,4.1,34637,0
134.79,0.703,11.38,81.2,3290,18.3,101.62,1,12672,1
135.52,1.278,10.63,89.9,1280,31.6,126.52,4.1,72717,1
82.66,0.473,14.1,43.8,1904,48.9,98.19,9.9,173023,0
82.66,0.273,13.11,42.3,2238,44,95.55,9.2,176803,0
100.79,0.505,14,73.5,1700,48.4,80.57,4.4,85907,0
127.92,1.401,11.77,79.1,4152,15.2,112.4,6.4,126229,1
80.31,0.327,13.08,36.1,2407,40.2,90.61,5.8,57657,0
90.43,0.386,13.91,47.7,3367,39.1,87.9,14.3,134923,0
122.24,1.522,12.71,79.8,3798,19.5,107.47,5.1,93576,1
80.34,0.473,13.93,78.3,2679,55.3,76.22,3.3,41574,0
87.42,,12.84,68.9,2266,50.8,80.78,8.7,106907,0
65.87,0.376,13.27,72.2,2081,36.4,86.78,2.3,33273,0
67.75,0.408,13.91,67.3,2709,48.5,70,7.9,105512,0
79.38,0.349,13.52,69.2,2471,41.9,95.13,10.5,111683,0
74.87,0.19,12.96,44.7,1964,39.5,79.02,14.2,257111,0
88.14,0.604,13.73,52,1893,33.1,95.49,13.4,254123,0
75.92,0.416,13.14,40.2,2117,52.8,94.79,12.7,215480,0
70.88,0.44,14.4,51.8,3228,34.1,85.65,6.2,53272,0
99.66,0.394,14.27,65.3,3385,44.6,98,13.5,126751,0
134.3,1.084,12.28,85.1,1910,15.9,116.33,10.9,132352,1
114.97,1.13,12.91,100,1844,39.4,120.72,6.9,101327,1
128.29,1.327,10.04,75.1,1758,20.3,110.21,8.7,132914,1
79.56,0.628,13.88,62.5,2126,43.9,98.78,6.8,62777,0
86.11,0.277,14.24,36.3,3050,44.2,91.86,3.4,65468,0
73.49,0.297,13.62,56.4,3249,47.4,98.36,7,101194,0
88.76,0.356,13.37,66.1,2143,45.1,70.89,12.2,160906,1
78.99,0.529,12.65,51.8,2467,44.7,90.79,4.4,44936,0
133.16,1.079,10.93,99.7,3805,18.1,102.83,9.8,189927,1
78.98,0.276,13.91,40.6,2332,32.4,89.79,8.5,113935,0
